Symbol,Name
AMBA,"Ambarella, Inc."
IREN,IREN Limited
AFRM,"Affirm Holdings, Inc."
BABA,Alibaba Group Holding Limited
DOOO,BRP Inc.
ADSK,"Autodesk, Inc."
HMY,Harmony Gold Mining Company Limited
OS,"OneStream, Inc."
NG,NovaGold Resources Inc.
PRVA,"Privia Health Group, Inc."
JOYY,JOYY Inc.
EQX,Equinox Gold Corp.
ONC,BeOne Medicines AG
MIAX,"Miami International Holdings, Inc."
S,"SentinelOne, Inc."
NXE,NexGen Energy Ltd.
BIDU,"Baidu, Inc."
SBSW,Sibanye Stillwater Limited
EIX,Edison International
CNXC,Concentrix Corporation
CELH,"Celsius Holdings, Inc."
SSRM,SSR Mining Inc.
BILI,Bilibili Inc.
AUGO,Aura Minerals Inc.
AEM,Agnico Eagle Mines Limited
HL,Hecla Mining Company
OLN,Olin Corporation
GH,"Guardant Health, Inc."
MENS,Jyong Biotech Ltd.
IAG,IAMGOLD Corporation
HP,"Helmerich & Payne, Inc."
ZLAB,Zai Lab Limited
GFI,Gold Fields Limited
WPM,Wheaton Precious Metals Corp.
TFPM,Triple Flag Precious Metals Corp.
SAIA,"Saia, Inc."
AG,First Majestic Silver Corp.
